binned_distance	distance	AG.v50.1cell.iced.5kb	AG.v50.48hr.iced.5kb	AG.v50.60hr.iced.5kb	AG.v50.5day.iced.5kb	AG.v50.10day.iced.5kb
3700000	3748249.5	0.042105052	0.020367088970092106	0.014707393234963163	0.039622476	0.21587926129963658
3800000	3848269.5	0.04215094	0.019116185	0.013911618821030735	0.039892729	0.20558484306692137
3900000	3948289.5	0.040465332	0.018875156	0.013180346318565668	0.035327997	0.20054020548306742
4000000	4048309.5	0.040498421672100895	0.017943833	0.012671171759041085	0.034685092455996144	0.19746180447462405
4100000	4148329.5	0.039876043	0.017502112799124805	0.012191554	0.034974370494913906	0.19009381568968292
4200000	4248349.5	0.039910157	0.017124585131192145	0.011806352900637276	0.030882331624351188	0.18084866422466825
4300000	4348369.5	0.039074999	0.016439741503509412	0.011316607593077444	0.028712688	0.17540822257585797
4400000	4448389.5	0.038370365	0.015752903946135648	0.011049397523787158	0.028540890685794174	0.1723907846950619
4500000	4548409.5	0.038034825	0.015757742841261524	0.010564671395220033	0.025617835	0.16441056455990602
4600000	4648429.5	0.037646390034973914	0.015120951	0.010239865	0.024929981547272023	0.15402229039625137
4700000	4748449.5	0.036862474	0.014806977835089977	0.00997199	0.025170823	0.15327500285849782
4800000	4848469.5	0.036894313	0.014403739473733454	0.009614502	0.025530868745512216	0.14662393424759976
4900000	4948489.5	0.036272709382171496	0.013859654180157157	0.009205802	0.022174745768751235	0.1440836089251869
5000000	5048509.5	0.036356683	0.013639025	0.008965327	0.022344074	0.13619883037948952
5100000	5148529.5	0.03580701	0.013368366	0.00877459	0.020673837123307805	0.1339765264955342
5200000	5248549.5	0.035116998	0.012873615740063071	0.008664794	0.019744684	0.12532366228946462
5300000	5348569.5	0.034990669	0.012757421575643446	0.008461364	0.0176483	0.11963515500993359
5400000	5448589.5	0.034494697140754996	0.012472555371010247	0.008252326	0.017677193	0.11974805395131621
5500000	5548609.5	0.035335678	0.012377418951813114	0.008206234	0.016888889335760684	0.11291705788161571
5600000	5648629.5	0.034005257693809264	0.011925217610455943	0.008022369	0.017157607	0.11082170702082225
5700000	5748649.5	0.034140805895056824	0.011957083259405423	0.007754683	0.015257124806089243	0.10285796848305002
5800000	5848669.5	0.034199347159035574	0.012361533231528088	0.008771408	0.016344321994572156	0.10033168783271738
5900000	5948689.5	0.032883136	0.011289819666740301	0.007606749	0.015063308211608981	0.093531352
6000000	6048709.5	0.033073303	0.011029654	0.007130393	0.013086934	0.087867284
6100000	6148729.5	0.032573655	0.010990169734411793	0.007053581	0.012460485112388847	0.084243655
6200000	6248749.5	0.03159527	0.010655107	0.006842802	0.011415325041420172	0.082288356
6300000	6348769.5	0.031192441544604644	0.010678470300503095	0.006752806	0.011481550471491617	0.075841394
6400000	6448789.5	0.031733454	0.010417006	0.006582269	0.010030062895556253	0.076803247
6500000	6548809.5	0.031139101015626412	0.010128929016334795	0.006469349	0.009471518	0.06711451
6600000	6648829.5	0.031505743	0.010024332629632215	0.006470494	0.009000644	0.069390265
6700000	6748849.5	0.030667972498805908	0.010045720899892087	0.006378034	0.010225121396027376	0.066227167
6800000	6848869.5	0.030341407211049765	0.009632156	0.006203117	0.009610074	0.061237789
6900000	6948889.5	0.029347188470918415	0.009834797	0.005915367	0.008997821	0.057246602010681324
7000000	7048909.5	0.030268929908298443	0.009352302	0.005964882	0.007382475	0.054580611263628606
7100000	7148929.5	0.029395976426075464	0.009150167	0.005872901	0.008308104	0.051666852
7200000	7248949.5	0.029943131233311042	0.009314385	0.005806624	0.006724684	0.049782389
7300000	7348969.5	0.029627784909119447	0.009187339	0.005568194	0.007538662	0.045512407
7400000	7448989.5	0.028784388814157964	0.008992609	0.005433058	0.00692307	0.043390778259432626
7500000	7549009.5	0.028847966	0.008885309	0.005553103	0.007834232	0.042238965
7600000	7649029.5	0.028659052	0.009086954	0.005329171	0.008025349	0.04119501
7700000	7749049.5	0.027429785493470808	0.008711718	0.005322085	0.006353771	0.038345041
7800000	7849069.5	0.027481057	0.008347713	0.005163416	0.00699604	0.040196029
7900000	7949089.5	0.028219227	0.008499334	0.005167364	0.006464877	0.034243367
8000000	8049109.5	0.027229177544810697	0.008347231	0.005281696	0.008556235	0.030184968333114535
8100000	8149129.5	0.027865056	0.008278871	0.004969085	0.00557505	0.033572144560138656
8200000	8249149.5	0.026979291311053206	0.007939539	0.004725243	0.005066497	0.027945436341111518
8300000	8349169.5	0.027708407562461627	0.0076919	0.004897226	0.004723807	0.026942109
